first_name,name,call_type,call_year,host_institution,project_acronym,snsf_fis,snsf_grants_before,had_snsf_grants_before,Applicant,ApplicantNumber
Dejan,KOSTIC,StG,2010,Ecole Polytechnique Fédérale de Lausanne,PROPHET,Applicant Project funding;2009;130265;Energy-Centric Networks||Applicant Project funding;2008;125140;Predicting and Preventing Inconsistencies in Deployed Distributed Systems,2,TRUE,Kostic Dejan,533469
Petros,KOUMOUTSAKOS,AdG,2013,Eidgenössische Technische Hochschule Zürich,FMCoBe,Co-applicant Sinergia;2013;147675;Functional plasticity: the role of hydrodynamics in ray branching during fin development and regeneration in zebrafish||Applicant Project funding;2012;146665;Uncertainty Quantification for Flow Simulations Using Particles||Co-applicant Project funding;2011;138231;Multiscale modeling of transport processes in healthy and tumor induced microcirculation||Applicant Project funding;2010;134996;Three Dimensional Simulations and Optimization of Fish Schools||Applicant Project funding;2010;134999;DNS of Vortical Flows using Mltiresolution Vortex Methods on Massively Parallel Computer Architectures||Co-applicant Project funding;2009;130605;Simulations des grandes échelles d'écoulement incompressible à grand nombre de Reynolds dans les turbomachines||Applicant Project funding;2006;116711;Smoothed Particle Method simulations of shock waves generated by cavitation||Applicant Project funding;2005;109480;Particle methods for simulations of flow-structure interaction in anguiliform hydrodynamics||Applicant Project funding;2003;101835;Stochastic Optimization for Shear Flow Noise Reduction||Applicant Project funding;2001;67007;Computational Nanofluidics for the Study of Biomolecular Systems||Applicant Project funding;1998;54093;Application of machine learning algorithms to flow control,11,TRUE,Koumoutsakos Petros,95782
Maksym,KOVALENKO,StG,2012,Eidgenössische Technische Hochschule Zürich,NANOSOLID,Co-applicant Project funding;2012;143638;Nanomaterial Synthesis using Intelligent Microfluidics||Applicant Project funding;2011;140245;Precision synthesis of inorganic nanocrystals using organometallic metal-nitrogen bonded precursors,2,TRUE,Kovalenko Maksym,593435
Rainer Andreas,KRAUSE,StG,2012,Eidgenössische Technische Hochschule Zürich,SCADAPT,Applicant Project funding;2011;137971;Gaussian Process Bandit Optimization: Theory and Applications||Co-applicant Project funding (special);2009;126807;Belastung und Ressourcen bei Schweizer Lehrpersonen - Arbeitsbedingte Beanspruchungsfolgen und Engagement bei Lehrpersonen des 5. bis 9. Schuljahres - Trendanalysen,2,TRUE,Krause Andreas,592215
Ruben,KRETZSCHMAR,AdG,2017,Eidgenössische Technische Hochschule Zürich,IRMIDYN,"Co-applicant Project funding;2014;156586;Atmospheric input and retention of iodine in organic-rich soils: marine-influenced versus continental areas||Applicant Project funding;2014;155890;Redox-induced speciation changes and reductive mobilization of arsenic, manganese, and iron in highly-contaminated river floodplains||Applicant Project funding;2014;156392;Mobility of trace metals in periodically flooded soils: Influence of reduced iron, manganese, and sulfur||Applicant Project funding;2011;138003;Redox-induced speciation changes and reductive mobilization of arsenic and iron in highly-contaminated river floodplains||Applicant Project funding;2010;135338;Influence of NOM on the dynamics of copper speciation in periodically flooded soils||Co-applicant Interdisciplinary projects;2010;132987;Adaptation and stability of glacier forefield microbial communities||Applicant Project funding;2009;129502;Geochemical mechanisms of copper acquisition by methanotrophic microorganisms||Applicant Project funding;2009;127157;Coprecipitates of hydrous ferric oxide and natural organic matter: properties and biogeochemical reactivity||Applicant Project funding;2007;117933;Dynamics of Trace Metal Speciation in Periodically Reduced Soils||Applicant Project funding;2006;116592;Long-term fate of zinc in contaminated soils: Zinc speciation by synchrotron spectroscopy and chemical extractions||Applicant Project funding;2006;113654;Arsenic Contamination of Paddy Soils through Irrigation Water in Bangladesh: Field Evidence and Investigation of Relevant Processes||Applicant Project funding;2006;113737;Geochemical mechanisms of copper acquisition by methanotrophic microorganisms||Applicant Project funding;2005;112280;The mechanisms of ligand adsorption and iron oxide dissolution in the presence of biogenic surfactants||Applicant Project funding;2004;105612;Arsenic Contamination of Paddy Soils through Irrigation Water in Bangladesh: Field Evidence and Investigation of Relevant Processes||Co-applicant Project funding;2004;105268;Effect of siderophores on the light-induced dissolution of iron oxides||Co-applicant Project funding;2003;103870;Modeling Physical and Chemical Interactions in Heterogenously Structured Media at Variable Water Saturation||Applicant Project funding;2003;101876;Long-term fate of zinc and cadmium in contaminated soils: Experimental metal speciation and model development||Applicant Project funding;2003;101760;Spatial distribution and chemical speciation of Pb and Sb in contaminated soil and its relation to pore water composition and preferential water flow||Applicant Project funding;2001;66910;The influence of biogenic surfactants on mineral weathering||Applicant Project funding;2000;63654;Spatial distribution and chemical speciation of Pb in contaminated soil and its relation to micromorphology and water flow||Co-applicant Project funding;2000;63471;Modeling Physical and Chemical Interactions in Heterogenously Structured Media at Variable Water Saturation||Applicant Project funding;1999;56737;Influence of Humic Substances on the Sorption of Heavy Metal Cations and Oxyanions on Mineral Surfaces||Co-applicant Project funding;1998;54143;Loess Magnetism, Environment and Climate Change on the Chinese Loess Plateau",23,TRUE,Kretzschmar Ruben,106181
Nico,KRISCH,AdG,2016,"Institut de Hautes Etudes Internationales et du
Developpement",PATHS,NA,0,FALSE,NA,NA
Madhavi,KRISHNAN,CoG,2016,Universität Zürich,COSMOS,Applicant SNSF Professorships;2011;138961;New experimental concepts in the manipulation of matter at the nanoscale,1,TRUE,Krishnan Madhavi,590413
Rolf,KUEMMERLI,CoG,2015,Universität Zürich,BactInd,Applicant SNSF Professorships;2011;139164;Cooperation and competition in bacteria: analyses from the single-cell to the community level,1,TRUE,Kümmerli Rolf,112633
Cris,KUHLEMEIER,AdG,2016,Universität Bern,RESPEC,Applicant Project funding;2014;159493;Identification of genes involved in the evolution of pollination syndromes||Applicant Project funding;2012;144136;Molecular analysis of leaf initiation||Applicant Project funding;2011;140793;Identification of genes involved in the evolution of pollination syndromes||Applicant Project funding;2009;127100;Molecular analysis of leaf initiation||Applicant Project funding;2004;105807;Molecular analysis of leaf initiation||Applicant Project funding;1998;55540;Molecular analysis of leaf initiation||Co-applicant Project funding;1998;53722;ATP availability exerts a switch function between membrane inte- grity and lipolytic membrane disruption in potato cells under oxygen stress,7,TRUE,Kuhlemeier Cris,20631
Viktor,KUNCAK,StG,2012,Ecole Polytechnique Fédérale de Lausanne,IMPRO,Applicant Project funding;2012;146649;Synthesizing Numerical Computations||Applicant Project funding;2012;144503;Constraint Solving Infrastructure for Program Analysis||Applicant Project funding;2012;144502;Cost-Effective Verification of Byzantine Fault-Tolerant Protocols: II||Applicant Project funding;2011;138204;Software Analysis through Functional Constraint Solving||Applicant Project funding;2010;132176;Synthesis Procedures||Applicant Project funding;2010;132188;Cost-Effective Verification of Byzantine Fault-Tolerant Protocols||Applicant Project funding;2007;120433;Precise and Scalable Analyses for Reliable Software,7,TRUE,Kuncak Viktor,541583
Ulrike,KUTAY,AdG,2012,Eidgenössische Technische Hochschule Zürich,NucEnv,"Applicant Project funding;2012;144221;Ribosome synthesis in mammalian cells||Applicant Project funding;2010;133135;Biogenese, Dynamik and Funktion der Kernhülle||Applicant Project funding;2007;118053;Nuclear envelope biogenesis, dynamics and function||Applicant Project funding (special);2004;108706;EURODYNA 2004-03: Cell biology of messenger RNA biogenesis||Applicant Project funding;2003;101712;Nuclear transport pathways/ Nuclear envelope breakdown during mitosis||Applicant Project funding;2000;61484;Nuclear transport pathways; ribosome export and importin beta like transport receptors",6,TRUE,Kutay Ulrike,116944
Pierre,LANARI,StG,2019,Universität Bern,PROMOTING,NA,0,FALSE,NA,NA
Antonio,LANZAVECCHIA,AdG,2009,Fondazione per l'Istituto di Ricerca in Biomedicina,IMMUNExplore,"Applicant Project funding;2008;126027;The role of innate receptors in dendritic cell and B lymphocyte activation||Applicant Project funding;2005;112678;The role of innate receptors in dendritic cell and B lymphocyte activation||Applicant Project funding;2000;63885;Dendritic cells: origin, maturation and impact on T cell respon- ses",3,TRUE,Lanzavecchia Antonio,33071
Hilal,LASHUEL,StG,2009,Ecole Polytechnique Fédérale de Lausanne,NOVEL TOOLS IN PD,Applicant Interdivisional projects;2008;125483;The role of post-translational modifications in modulating the structural and biochemical properties of alpha-synuclein||Applicant Project funding;2005;110027;Elucidating the structural basis of protofibrils associated toxicity in Alzheimer's and Parkinson's disease using molecular electron microscopy,2,TRUE,Lashuel Hilal,519310
Nidesh,LAWTOO,StG,2016,Universität Bern,HOM,NA,0,FALSE,NA,NA
Bruno,LEMAITRE,AdG,2008,Ecole Polytechnique Fédérale de Lausanne,GutDroso,Applicant Project funding;2007;120709;The Drosophila gut immune response,1,TRUE,Lemaitre Bruno,542101
Jean-Christophe,LEROUX,AdG,2019,Eidgenössische Technische Hochschule Zürich,IBAF,Applicant Sinergia;2017;177178;3D printing manufacturing of patient-tailored drug releasing stents||Applicant Interdivisional projects;2015;166697;Treating hyperammonemia with orally administered polymersomes||Applicant Sinergia;2012;147651;Focused Ultrasound-Mediated Delivery of Encapsulated MGMT Antagonists for the Treatment of Temozolomide-Resistant Glioblastoma||Applicant Interdivisional projects;2011;141263;Early Auto-processing of Bacterial Toxins as a Therapeutic Approach||Applicant Project funding;2011;138342;Functional nanomedicines for improved anticancer chemotherapy||Applicant Project funding;2011;137591;Reversible and tunable PEGylation at arginine residues||Applicant Project funding;2010;135732;Celiac disease - Improving enzymatic oral therapies via polymer conjugation||Applicant Project funding;2008;124882;Colloidal vesicles for drug detoxification,8,TRUE,Leroux Jean-Christophe,553039
Juerg,LEUTHOLD,AdG,2014,Eidgenössische Technische Hochschule Zürich,PLASILOR,Applicant Project funding;2014;160184;Design and manufacturing of heterogeneous photonic composites for aerospace applications||Applicant Project funding;2014;159565;Plasmonic Active Devices based on Metal Oxides,2,TRUE,Leuthold Juerg,601829
Prisca,LIBERALI,StG,2017,Friedrich Miescher Institute for Biomedical Research,SymBreakOrgan oid,Applicant SNSF Professorships;2014;157531;An image-based systems biology approach to symmetry breaking in collective cell behavior,1,TRUE,Liberali Prisca,641042
Johan,LILLIESTAM,StG,2016,Eidgenössische Technische Hochschule Zürich,TRIPOD,NA,0,FALSE,NA,NA
Joachim,LINGNER,AdG,2008,Ecole Polytechnique Fédérale de Lausanne,TERRA,Applicant Project funding;2006;116805;Regulation of telomerase at chromosome ends||Applicant Project funding;2001;67237;Telomerase and chromosome end replication.||Applicant Project funding;2000;59980;Telomerase and chromosome end replication in yeast and human,3,TRUE,Lingner Joachim,46412
Robbie Joseph,LOEWITH,StG,2007,Université de Genève,TOR SIGNALLING,Applicant SNSF Professorships;2005;110770;Growth control by the TOR signalling network||Applicant Project funding;2004;108114;Growth control by TOR signaling pathways,2,TRUE,Loewith Robbie,515194
Massimo,LOPES,CoG,2013,Universität Zürich,ReStreCa,"Applicant Project funding;2012;146924;Mechanistic insights into replication stress, implicated in cancer and neurodegenerative syndromes.||Applicant SNSF Professorships;2006;114922;Towards the structural visualization of genome instability during DNA replication",2,TRUE,Lopes Massimo,513144
Ulrich,LORENZ,StG,2017,Ecole Polytechnique Fédérale de Lausanne,ProteinDynamic s,Applicant SNSF Professorships;2015;163681;4D and Ultrafast Electron Microscopy,1,TRUE,Lorenz Ulrich,542045
Mathieu,LUISIER,StG,2013,Eidgenössische Technische Hochschule Zürich,E‐MOBILE,Co-applicant Project funding;2013;149495;Exploration of Negative Capacitance Ferroelectric Device Concepts and Technologies||Applicant SNSF Professorships;2010;133591;Physics-based Modeling of Electronic Devices at the Nanometer Scale,2,TRUE,Luisier Mathieu,524484
Christian,LÜSCHER,AdG,2012,Université de Genève,MeSSI,"Applicant Project funding;2012;144080;Molecular control of spine dynamics in hippocampal organotypic cultures||Co-applicant Sinergia;2011;136210;Dopamine receptor associated proteins  (DRAPs): From molecular interactions to brain functions||Applicant Project funding;2010;132729;Spiraling towards relapse: a network approach to addiction||Applicant Project funding;2005;109871;Addiction and synaptic plasticity: Cocaine-induced redistribution of glutamate receptors in the ventral tegmental area||Applicant Project funding;2002;67953;Acute desensitization of ""mü""-opioid receptor mediated K currents:a predictor of dependence?||Applicant Project funding;1998;54963;Early Actions of Opioids in the Ventral Tegmental Area (VTA) (zu SCORE A)",6,TRUE,Lüscher Christian,75369
Jeremy,LUTERBACHER,StG,2017,Ecole Polytechnique Fédérale de Lausanne,CATACOAT,Applicant Sinergia;2017;180258;From Plant to Polymer: Lignin upgrading to high-value aromatic monomers and their derived polymers||Applicant National Research Programmes (NRPs);2014;153866;Catalytic upgrading of biomass-derived carboxylic acids for fuel and chemical production||Applicant Assistant Professor (AP) Energy Grants;2013;154281;Solvent-based methods for biomass conversion,3,TRUE,Luterbacher Jeremy,598829
Andreas,LUTHI,AdG,2014,Friedrich Miescher Institute for Biomedical Research,Amygdala Circuits,Applicant Project funding;2013;149722;Dis-inhibitory amygdala circuits in fear conditioning and extinction||Applicant Project funding;2010;133137;Controlling fear: function and plasticity of inhibitory circuits in the amygdala||Co-applicant Sinergia;2009;130080;Emotional Memory in Health and Disease||Applicant Project funding;2007;117935;Controlling fear: function and plasticity of inhibitory circuits in the amygdala||Applicant SNSF Professorships;2002;68880;Neural Substrates of Pavlovian Fear Conditioning: Synaptic and Cellular Mechanisms of Associative Plasticity in the Lateral Amygdala||Applicant Project funding;2002;67749;Neural substrates of pavlovian fear conditioning: synaptic and cellular mechanisms of associative plasticity in the lateral amygdala,6,TRUE,Lüthi Andreas,94837
Matthias,LUTOLF,StG,2012,Ecole Polytechnique Fédérale de Lausanne,STEMCHIP,Applicant Interdisciplinary projects;2012;143766;Artificial mesenchymal progenitor cell niches for bone tissue engineering||Co-applicant Interdisciplinary projects;2011;140623;1-year extension: Engineering the Microenvironment: mechanosensation and asymmetric stem cell division in physiologically relevant cell niches||Applicant Interdisciplinary projects;2008;125426;Artificial mesenchymal progenitor cell niches for bone tissue engineering||Co-applicant Interdisciplinary projects;2008;125290;Engineering the Microenvironment: mechanosensation and asymmetric stem cell division in physiologically relevant cell niches||Co-applicant Interdivisional projects;2005;112323;Differentiation and mechanosensitive gene expression of cells cultured on 2D/3D micro- and nanosurfaces,5,TRUE,Lutolf Matthias P.,106130
John,LYGEROS,AdG,2017,Eidgenössische Technische Hochschule Zürich,OCAL,Applicant Project funding;2011;137876;Feedback control of camera networks for tracking and surveillance||Applicant Project funding;2008;122072;Stochastic Model Predictive Control,2,TRUE,Lygeros John,546914
Horst,MACHGUTH,CoG,2018,Université de Fribourg,CASSANDRA,Applicant Project funding;2016;169453;Changing glacier firn in Central Asia and its impact on glacier mass balance,1,TRUE,Machguth Horst,515008
Andrew J.,MACPHERSON,AdG,2016,Universität Bern,HHMM-Neonates,Applicant Project funding;2014;160262;Secretory IgA in host-microbial reciprocity||Applicant Sinergia;2014;154414;The Host-Microbial Superorganism||Applicant Project funding;2011;140700;Compartmentalisation of commensal intestinal microbes and host IgA immunity in maintaining host-microbial mutualism||Applicant Sinergia;2011;136286;Recovery of intestinal homeostasis after microbial or immunological challenge||Applicant Project funding;2008;124732;Investigation of the induction mechanisms and function of secretory IgA against commensal bacteria using reversible germ-free colonisation||Applicant Project funding;2002;100421;Mechanisms of intestinal IgA induction and protection of adults and neonates against the commensal intestinal flora,6,TRUE,Macpherson Andrew,110558
Sebastian,MAERKL,CoG,2016,Ecole Polytechnique Fédérale de Lausanne,RetroNets,Applicant Interdisciplinary projects;2011;140697;Development of a microfluidic platform for the high-throughput quantitation of proteins.||Co-applicant Project funding;2008;122552;Elucidation and modeling of the gene regulatory networks underlying adipogenesis,2,TRUE,Maerkl Sebastian Josef,546364
John Paul,MAIER,AdG,2009,Universität Basel,ElecSpecIons,"Applicant Project funding;2008;124349;Spectroscopic Characterization of Carbon Radicals and Ions||Applicant Project funding;2006;115864;Spectroscopic characterization of carbon radicals, ions, and cluster ions||Applicant Project funding;2004;107386;Spectroscopic characterization of carbon radicals, ions, and cluster ions||Applicant Project funding;2002;100019;Spectroscopic characterization of carbon radicals, ions, and cluster ions||Applicant Project funding;2000;63459;Spectroscopic characterization of carbon radicals, ions, and cluster ions||Applicant Project funding;1998;55285;Spectroscopic characterization of carbon chains, ions and cluster ions",6,TRUE,Maier John Paul,4674
Patrick,MALETINSKY,CoG,2019,Universität Basel,QS2DM,Applicant Project funding;2019;188521;Exploring nanoscale magnetic phenomena using a quantum microscope||Applicant Project funding;2016;169321;Exploring nanoscale magnetic phenomena using a quantum microscope||Applicant Project funding;2012;143697;Quantum sensing using single spin microscopy,3,TRUE,Maletinsky Patrick,554493
Gregoire,MALLARD,StG,2016,"Institut de Hautes Etudes Internationales et du
Developpement",PROSANCT,"Co-applicant Project funding;2014;156390;Gendered Globalization of the Legal Professions. Comparing the Early-Stages Careers of Lawyers in Switzerland, Germany and France",1,TRUE,Mallard Grégoire,644722
Suliana,MANLEY,StG,2009,Ecole Polytechnique Fédérale de Lausanne,PALMASSEMBLY,NA,0,FALSE,NA,NA
Marcos,MARIÑO,SyG,2018,Université de Genève,ReNewQuantum,"Applicant Project funding;2017;175539;Quantum Mechanics, Geometry and Strings||Co-applicant Project funding;2014;159581;Algèbre, Analyse, Géométrie et Physique||Applicant Project funding;2014;156995;Physics and mathematics of the 1/N expansion||Co-applicant Project funding;2011;141329;Algèbre, Analyse, Géométrie et Physique||Applicant Project funding;2011;137523;Large N quantum fields, strings, and geometry||Co-applicant Project funding;2009;126817;Algèbre, Analyse, Géométrie et Physique||Co-applicant Project funding;2008;121675;Algèbre, Analyse, Géométrie et Physique||Applicant Project funding;2008;121605;Topological string theory: from large N quantum fields to geometry",8,TRUE,Mariño Beiras Marcos,518951
Ivan,MARTIN,SyG,2018,Universität Basel,EpiCrest2Reg,"Applicant Project funding;2017;179259;Engineering of cell-free Extracellular Matrices enriched with osteoinductive and immunomodulatory factors to enhance bone healing||Co-applicant Sinergia;2016;171037;The underestimated role of the human omentum in metastatic spread||Co-applicant Project funding;2014;156291;Modulation of pre-vascularization in osteogenic tissue engineered grafts||Applicant Project funding;2014;156430;Developmental Engineering of Cartilage from Adult MSCs - Mimicking Differentiation of Limb Mesenchymal Progenitors||Co-applicant Project funding;2013;149614;Nasal chondrocytes for the treatment of articular osteoarthritic lesions||Co-applicant Project funding;2011;138519;Generation of a mesenchymal niche - Importance of CD34||Applicant Sinergia;2011;136179;Developmental engineering of endochondral ossification from mesenchymal stem cells||Applicant Project funding;2010;133110;Engineering of large size grafts capable to generate bone tissue by endochondral ossification||Co-applicant National Research Programmes (NRPs);2009;126123;Porous shape-memory-scaffolds as mechanically active bone implants||Co-applicant Project funding;2009;126965;Cellular and molecular characterisation of human nasal chondrocyte plasticity, towards their exploration for articular cartilage repair||Co-applicant Project funding;2007;120432;Vascularization of tissue engineered grafts||Applicant Project funding;2005;110054;Engineering of osteochondral composites using human articular chondrocytes and biomimetic materials||Co-applicant National Research Programmes (NRPs);2000;58623;Selection of specific human articular chondrocyte populations for reproducible and enhanced engineering of cartilage grafts",13,TRUE,Martin Ivan,606767
Olivier,MARTIN,AdG,2015,Ecole Polytechnique Fédérale de Lausanne,NANOFACTORY,"Applicant Project funding;2015;162453;Phase engineering on plasmonic metasurfaces||Applicant Project funding;2013;153662;Multiresonant structures for nonlinear plasmonics||Applicant Interdisciplinary projects;2012;147279;Real time analysis of gold nanoparticles synthesized by human cells via extraordinary optical transmission (EOT)||Co-applicant Project funding;2012;147197;Plasmonic Arrays for Bio-Sensor Applications||Applicant Project funding;2010;135452;3D plasmonic nanostructures in complex surroundings||Applicant National Research Programmes (NRPs);2010;131280;Non-invasive continuous monitoring of the interaction between nanoparticles and aquatic microorganisms||Applicant Project funding;2010;132694;Nonlinear plasmonics: Modelling and experiments||Applicant Interdisciplinary projects;2009;130164;Nanobiosensors Based on Plasmon Resonance Energy Transfer (PRET) for Intracellular Monitoring of Individual Living Cells||Applicant Project funding;2008;125326;Molecular interactions in plasmonic systems||Co-applicant Project funding;2008;124777;Plasmonic Arrays for Bio-Sensor Applications||Applicant Project funding;2006;116758;Plasmon resonances of 3D nanoparticles||Applicant Project funding;2006;113735;Optical trapping in plasmonic systems||Co-applicant Project funding;2006;113458;Single biomolecule detection in confined lightfields||Applicant Project funding;2004;105558;Plasmon resonances of 3D nanoparticles||Co-applicant Project funding;2003;103333;Single biomolecule detection in confined lightfields||Applicant SNSF Professorships;2000;62877;Interaction of the electromagnetic field with low dimension systems: propagation, scattering, confinement and resonances||Applicant Project funding;1998;55549;Light stamps for high resolution optical lithography: a theoretical and experimental study",17,TRUE,Martin Olivier,50527
Roland Michael Gunnar,MARTIN,AdG,2013,Universität Zürich,HLA-DR15 in MS,Applicant Project funding;2013;153213;Reverse tolerization against glioblastoma by individualized vaccination  with tumor antigen-derived designer peptides||Applicant Project funding;2012;146945;Suche nach Kandidaten-Autoantigenen und viralen/bakteriellen Triggern der Multiplen Sklerose,2,TRUE,Martin Roland,25483
Sophie,MARTIN,StG,2010,Université de Lausanne,GeometryCellCycle,Applicant SNSF Professorships;2006;114936;Control of cell polarisation by microtubules and formins in the fission yeast,1,TRUE,Martin Sophie,102018
Fabio,MARTINON,StG,2011,Université de Lausanne,ERinflammation,Applicant Project funding;2009;130476;Molecular mechanisms linking ER-stress and inflammatory pathways,1,TRUE,Martinon Fabio,523493
Denis,MARTINVALET,StG,2010,Université de Genève,CTLandROS,"Co-applicant Sinergia;2010;132396;Nanoscale approaches to dissect mitochondrial dynamics: integrating biophysics, advanced image processing and pathophysiology||Applicant Ambizione;2009;126710;Reactive Oxygen Species in Granzyme-mediated Cell Death: from Mechanism to Applications",2,TRUE,Martinvalet Denis,559296
Stefan,MATILE,AdG,2010,Université de Genève,FUBSSY,"Applicant Project funding;2009;126509;Synthetic Functional Nanoarchitectures at Interfaces: Ion Channels, Sensors, Photosynthesis and Photovoltaics||Applicant Project funding;2007;117593;Synthetic Functional Nanoarchitecture at Interfaces: Ion Channels, Sensors, Photosynthesis and Photovoltaics||Applicant Project funding;2005;109160;Bioorganic Chemistry of Rigid-Rod Molecules||Applicant Project funding;2004;105160;(1) Synthetic Multifunctional Pores Beyond Artificial beta-Barrels and (2) Counterion-Mediated Function of Oligoarginine Carriers||Applicant Project funding;2003;101486;Bioorganic Chemistry of Rigid-Rod Molecules||Applicant Project funding;2001;64818;Bioorganic Chemistry of Rigid-Rod Molecules||Applicant National Research Programmes (NRPs);1999;57496;Supramolecular chemistry of rigid-rod molecules||Applicant Project funding;1999;57059;Bioorganic Chemistry of Rigid-Rod Molecules",8,TRUE,Matile Stefan,106309
Elison,MATIOLI,StG,2015,Ecole Polytechnique Fédérale de Lausanne,In-Need,Applicant Assistant Professor (AP) Energy Grants;2015;166901;High-Efficiency III-Nitride Power Devices for Future Energy Conversion,1,TRUE,Matioli Elison,654678
Andreas,MAYER,AdG,2008,Université de Lausanne,ORGANELL,Applicant Project funding;2006;113752;Analysis of SNARE-dependent Membrane Fusion||Applicant Project funding;2003;102206;Analysis of intracellular membrane fusion using yeast vacuoles as a model system: Role of VTC proteins and VO in the late phase,2,TRUE,Mayer Andreas,545753
Marco,MAZZOTTI,AdG,2017,Eidgenössische Technische Hochschule Zürich,SNICC,"Applicant National Research Programmes (NRPs);2014;154041;Technical evaluation of multi-energy-hub systems integration at neighbourhood scale IMES-TEC||Applicant National Research Programmes (NRPs);2014;153890;Integration of sustainable multi-energy-hub systems at neighbourhood scale (IMES)||Applicant Project funding;2014;155971;Crystallization: Optimal control and advanced monitoring 2.0 (CrystOCAM 2.0)||Applicant Project funding;2012;146662;Development of phase change emulsion systems for thermal energy storage||Applicant Project funding;2012;143270;Chiral resolution in systems exhibiting liquid-liquid phase separations||Co-applicant Project funding;2010;135218;Crystallization: Optimal control and advanced monitoring (CrystOCAM)||Applicant Project funding;2010;132499;Downstream Processing of Bacterial Polyhydroxyalkanoates using Supercritical Fluid Technology||Applicant Project funding;2009;130186;Study of adsorption-based carbon dioxide capture and storage systems under wet conditions||Applicant Project funding;2008;121882;Theoretical and Experimental Investigation of Breakage Kinetics in Particle Suspensions||Applicant Project funding;2006;115863;Design and development of the mineral carbonation process for the storage of carbon dioxide captured from point sources||Applicant Project funding;2004;107657;Enhanced coal bed methane recovery finalized to carbon dioxide storage: study of the adsorption and swelling phenomena, and of the coal bed dynamics||Applicant Project funding;2002;67989;Competitive adsorption and preparative chromatography at supercritical conditions||Co-applicant Project funding;1998;55674;Large scale chromatography at supercritical conditions",13,TRUE,Mazzotti Marco,94971
Kathy,MCCOY,StG,2011,Universität Bern,HygieneandImmunity,Applicant Project funding;2010;134902;Investigation into the impact of environmental microbes on regulation of IgE and allergic disease,1,TRUE,McCoy Kathy,568484
Ohad,MEDALIA,SyG,2018,Universität Zürich,HighResCells,"Applicant Project funding;2017;179418;Resolving the organization, assembly and structure of nuclear lamins||Applicant Project funding;2014;159706;Structural study of human lamins, from nuclear lamina organization to lamin structure||Applicant Project funding;2011;141083;The functional architecture of lamins and the nuclear lamina",3,TRUE,Medalia Ohad,595071
Anders,MEIBOM,AdG,2017,Ecole Polytechnique Fédérale de Lausanne,UltraPal,Applicant Project funding;2017;179092;Reef building corals: From healthy symbiosis to stress and disease||Co-applicant Interdisciplinary projects;2015;166487;Multi-dimensional imaging to visualize starch biosynthesis in plants.||Applicant Interdisciplinary projects;2014;159282;Cellular Level Metabolic Exchange and Molecule Signaling in Symbiotic Marine Organisms: Corals and the Hawaiian Bobtail Squid||Applicant Project funding;2013;149333;Global nitrogen-cycling in marine environments: A potentially dominant role of benthic foraminifera in denitrification studied with NanoSIMS isotopic imaging of individual cells||Applicant Interdisciplinary projects;2011;141048;A NanoSIMS study of (sub-)cellular nutrient-transfer in symbiotic corals and sea anemones under changing environmental conditions,5,TRUE,Meibom Anders,579665
Beat,MEIER,AdG,2016,Eidgenössische Technische Hochschule Zürich,FASTER,Applicant Project funding;2013;149692;Specificity and longevity of memory advantages in synaesthesia||Applicant Project funding;2009;130104;Determining the necessary and sufficient conditions for incidental learning with a task sequence learning paradigm||Applicant Project funding;2007;120580;Determining the necessary and sufficient conditions for incidental learning with a task sequence learning paradigm||Applicant Project funding;2006;116213;Das Zusammenspiel von prospektiver und retrospektiver Komponente bei prospektiven Gedächtnistests||Applicant Project funding;2005;109734;Das Zusammenspiel von prospektiver und retrospektiver Komponente bei prospektiven Gedächtnistests||Applicant Project funding;2003;101754;Verarbeitungsprozesse bei prospektivem Gedächtnis: Aktives Behalten und unwillkürliches Erinnern,6,TRUE,Meier Beat,533585
Nadia,MERCADER,CoG,2018,Universität Bern,TransReg,Applicant Project funding;2018;182575;Deciphering the influence of biomechanics and mechanotransduction during cardiac regeneration in normal and pathological contexts||Applicant Project funding;2014;159721;Cardiac regeneration in the zebrafish: interplay between collagen matrix and cardiomyoyte progenitors,2,TRUE,Mercader Nadia,102020
Doron,MERKLER,CoG,2019,Université de Genève,PATHOCODE,"Applicant Project funding;2018;185321;Drivers and signatures of neuronal dysfunction in neuroinflammation||Applicant Project funding;2016;173010;Compartmentalized T cell memory in brain viral infection and autoimmunity||Co-applicant Sinergia;2015;160772;The alarmin interleukin-33 in infection, immunity and autoimmunity||Applicant SNSF Professorships;2009;128372;Viral triggers and gray matter involvement in multiple sclerosis",4,TRUE,Merkler Doron,126938
Frédéric,MERKT,AdG,2008,Eidgenössische Technische Hochschule Zürich,CORYPHEE,"Applicant Project funding;2008;125030;Rydberg states, VUV laser spectroscopy and photoionization dynamics||Applicant Project funding;2008;122128;Zeeman and Stark deceleration of atoms and molecules||Applicant Project funding;2006;116245;Rydberg states, VUV laser spectroscopy and photoionization dynamics||Applicant Project funding;2006;113886;Zeeman and Stark deceleration of atoms and molecules||Applicant Project funding;2004;108080;Rydberg states, VUV laser spectroscopy and photoionization dynamics||Applicant Project funding;2002;100050;High resolution VUV laser spectroscopy and dynamics of electronically excited states||Applicant Project funding;2000;61682;High resolution VUV laser spectroscopy and dynamics of electronically excited states||Applicant Project funding;1998;55628;Vacuum ultraviolet photochemistry and photophysics at very high resolution",8,TRUE,Merkt Frédéric,23285
